id,published_date,title,source,tags,crawl_date,tickers,day_name
94599661,2026-04-17 21:34:12.474000+00:00,EXCLUSIVO Meta prev 1 rodada de demisses em massa para 20 de maio,reuters.com,"['2026:Ml_Kbn3Qu2Dt', '2026:Ml_Kbn3Qu2Dt:1', '2026:Ml_Kbn3Qu2Du', '2026:Ml_Kbn3Qu2Du:1', '2026:Ml_L6N4101Ag', '2026:Ml_L6N4101Ag:402357672', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qu2Dt', 'Usn:Kbn3Qu2Du', 'Usn:L6N4101Ag', 'Vguid:Tag:Reuters.Com']",2026-04-17 21:41:46.537252+00:00,"['amzn', 'meta', 'xyz']",Friday
94597547,2026-04-17 20:14:05.377000+00:00,EXCLUSIVA Meta tiene previsto realizar primera ronda de despidos el 20 de mayo; habr nuevos recortes a lo largo de 2026,reuters.com,"['2026:Ml_Kbn3Qu287', '2026:Ml_Kbn3Qu287:1', '2026:Ml_Kbn3Qu288', '2026:Ml_Kbn3Qu288:1', '2026:Ml_L6N41017X', '2026:Ml_L6N41017X:823306809', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qu287', 'Usn:Kbn3Qu288', 'Usn:L6N41017X', 'Vguid:Tag:Reuters.Com']",2026-04-17 20:33:34.214785+00:00,"['amzn', 'meta', 'xyz']",Friday
94596343,2026-04-17 19:48:27.756000+00:00,Meta targets May 20 for first wave of layoffs; additional cuts later in 2026,reuters.com,"['2026:Ml_Kbn3Qu267', '2026:Ml_Kbn3Qu267:1', '2026:Ml_Kbn3Qu267:2', '2026:Ml_Kbn3Qu268', '2026:Ml_Kbn3Qu268:1', '2026:Ml_Kbn3Qu268:2', '2026:Ml_L6N4100Wu', '2026:Ml_L6N4100Wu:1435570125', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qu267', 'Usn:Kbn3Qu268', 'Usn:L6N4100Wu', 'Vguid:Tag:Reuters.Com']",2026-04-17 20:02:11.326430+00:00,"['amzn', 'meta', 'xyz']",Friday
94580407,2026-04-17 11:00:11.936000+00:00,"Iconiq, Go-To Wealth Adviser for Tech’s Elite, Is Putting Billions Into AI",bloomberg.com,"['Financial Services', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector']",2026-04-17 11:07:06.923897+00:00,"['crm', 'ddog', 'gs', 'meta', 'ms']",Friday
94579464,2026-04-17 10:04:17.872000+00:00,Wall St Week Ahead Surging record-high US stocks to wade deeper into earnings season,reuters.com,"['2026:Ml_Kbn3Qu0V2', '2026:Ml_Kbn3Qu0V2:1', '2026:Ml_Kbn3Qu0V3', '2026:Ml_Kbn3Qu0V3:1', '2026:Ml_L6N40Z12C', '2026:Ml_L6N40Z12C:977481389', 'Consumer Cyclical', 'Consumer Defensive', 'Guid:Tag:Reuters.Com', 'Industrials', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qu0V2', 'Usn:Kbn3Qu0V3', 'Usn:L6N40Z12C', 'Vguid:Tag:Reuters.Com']",2026-04-17 10:27:59.052483+00:00,"['ba', 'bird', 'googl', 'intc', 'meta', 'msft', 'pg', 'tsla']",Friday
94575779,2026-04-17 06:04:12.526000+00:00,China turns Taiwan’s own voices against it in information war,reuters.com,"['2026:Ml_Kbn3Qu0Fi', '2026:Ml_Kbn3Qu0Fi:1', '2026:Ml_Kbn3Qu0Fj', '2026:Ml_Kbn3Qu0Fj:1', '2026:Ml_L6N40Z0D2', '2026:Ml_L6N40Z0D2:1753088538', '2026:Ml_M1L6N40Z0D2', '2026:Ml_M1L6N40Z0D2:1753088538', 'China', 'Guid:Tag:Reuters.Com', 'Stock', 'Taiwan', 'Technology', 'Usn:Kbn3Qu0Fi', 'Usn:Kbn3Qu0Fj', 'Usn:L6N40Z0D2', 'Usn:M1L6N40Z0D2', 'Vguid:Tag:Reuters.Com']",2026-04-17 06:18:29.869105+00:00,"['googl', 'meta']",Friday
94574496,2026-04-17 04:14:06.981000+00:00,"Apple Marketing Chief for Watch, AirPods, Home and Health Retires",bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-17 04:22:29.138779+00:00,"['aapl', 'meta']",Friday
94566986,2026-04-16 21:00:10.942000+00:00,The $10 Billion Startup Training AI to Replace the White-Collar Workforce,bloomberg.com,"['Consumer Cyclical', 'Stock', 'Technology', 'Tiingo Top', 'Unknown Sector']",2026-04-16 21:04:54.638241+00:00,"['amzn', 'googl', 'meta', 'uber', 'xyz']",Thursday
94558658,2026-04-16 16:39:37.850000+00:00,Previses de ASML e TSMC indicam boom de gastos com IA,reuters.com,"['2026:Ml_Kbn3Qt24Z', '2026:Ml_Kbn3Qt24Z:1', '2026:Ml_Kbn3Qt250', '2026:Ml_Kbn3Qt250:1', '2026:Ml_L6N40Z16Q', '2026:Ml_L6N40Z16Q:1599662719', 'Consumer Cyclical', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt24Z', 'Usn:Kbn3Qt250', 'Usn:L6N40Z16Q', 'Vguid:Tag:Reuters.Com']",2026-04-16 16:53:32.962825+00:00,"['aapl', 'amd', 'amzn', 'asml', 'avgo', 'googl', 'intc', 'meta', 'msft', 'nvda']",Thursday
94558171,2026-04-16 16:29:17.784000+00:00,Meta vai aumentar preos do headset Quest VR nos EUA,reuters.com,"['2026:Ml_Kbn3Qt243', '2026:Ml_Kbn3Qt243:1', '2026:Ml_L6N40Z16D', '2026:Ml_L6N40Z16D:1661102659', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qt243', 'Usn:L6N40Z16D', 'Vguid:Tag:Reuters.Com']",2026-04-16 16:40:25.018446+00:00,"['dell', 'hpq', 'meta', 'msft']",Thursday
94557574,2026-04-16 16:07:57.388000+00:00,"Dona da Gucci vai lanar culos do Google no prximo ano, diz presidente",reuters.com,"['2026:Ml_Kbn3Qt218', '2026:Ml_Kbn3Qt218:1', '2026:Ml_Kbn3Qt219', '2026:Ml_Kbn3Qt219:1', '2026:Ml_L6N40Z152', '2026:Ml_L6N40Z152:1872530326', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt218', 'Usn:Kbn3Qt219', 'Usn:L6N40Z152', 'Vguid:Tag:Reuters.Com']",2026-04-16 16:21:36.751512+00:00,"['goog', 'googl', 'meta']",Thursday
94557642,2026-04-16 16:05:44.030000+00:00,Macron Calls For United EU Front on Youth Social Media Limits,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-16 16:21:04.981172+00:00,"['googl', 'meta', 'snap']",Thursday
94558140,2026-04-16 16:02:27.005000+00:00,"Gucci-owner Kering aims to launch luxury Google glasses next year, CEO says",reuters.com,"['2026:Ml_Kbn3Qt1Z9', '2026:Ml_Kbn3Qt1Z9:1', '2026:Ml_Kbn3Qt1Za', '2026:Ml_Kbn3Qt1Za:1', '2026:Ml_L6N40Z10A', '2026:Ml_L6N40Z10A:305734035', '2026:Ml_M1L6N40Z10A', '2026:Ml_M1L6N40Z10A:305734035', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt1Z9', 'Usn:Kbn3Qt1Za', 'Usn:L6N40Z10A', 'Usn:M1L6N40Z10A', 'Vguid:Tag:Reuters.Com']",2026-04-16 16:41:26.602744+00:00,"['goog', 'googl', 'meta']",Thursday
94556559,2026-04-16 15:24:30.947000+00:00,Meta to raise Quest VR headset prices in US on rising component costs,reuters.com,"['2026:Ml_Kbn3Qt1Wd', '2026:Ml_Kbn3Qt1Wd:1', '2026:Ml_Kbn3Qt1Wd:2', '2026:Ml_Kbn3Qt1We', '2026:Ml_Kbn3Qt1We:1', '2026:Ml_Kbn3Qt1We:2', '2026:Ml_L4N40Z1Fz', '2026:Ml_L4N40Z1Fz:1648113068', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Unknown Sector', 'Usn:Kbn3Qt1Wd', 'Usn:Kbn3Qt1We', 'Usn:L4N40Z1Fz', 'Vguid:Tag:Reuters.Com']",2026-04-16 15:52:19.603509+00:00,"['dell', 'googl', 'hpq', 'meta', 'msft']",Thursday
94552884,2026-04-16 14:06:33.120000+00:00,"""Apaguen los telfonos mviles y lean"", les dice Macron a los adolescentes franceses",reuters.com,"['2026:Ml_Kbn3Qt1Og', '2026:Ml_Kbn3Qt1Og:1', '2026:Ml_Kbn3Qt1Oh', '2026:Ml_Kbn3Qt1Oh:1', '2026:Ml_L6N40Z0Y8', '2026:Ml_L6N40Z0Y8:1275741531', 'France', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt1Og', 'Usn:Kbn3Qt1Oh', 'Usn:L6N40Z0Y8', 'Vguid:Tag:Reuters.Com']",2026-04-16 14:28:15.841250+00:00,"['googl', 'meta', 'snap']",Thursday
94550892,2026-04-16 13:00:00.001000+00:00,Meta Raises Prices of Quest VR Headsets on Growing Memory Costs,bloomberg.com,"['Stock', 'Technology', 'Tiingo Top']",2026-04-16 13:39:25.992086+00:00,"['aapl', 'meta', 'msft']",Thursday
94549366,2026-04-16 12:57:33.442000+00:00,"Switch off and read, France's Macron tells teenagers",reuters.com,"['2026:Ml_Kbn3Qt1G4', '2026:Ml_Kbn3Qt1G4:1', '2026:Ml_Kbn3Qt1G5', '2026:Ml_Kbn3Qt1G5:1', '2026:Ml_L8N40Z0Jc', '2026:Ml_L8N40Z0Jc:940052553', '2026:Ml_M1L8N40Z0Jc', '2026:Ml_M1L8N40Z0Jc:940052553', 'France', 'Guid:Tag:Reuters.Com', 'Stock', 'Technology', 'Usn:Kbn3Qt1G4', 'Usn:Kbn3Qt1G5', 'Usn:L8N40Z0Jc', 'Usn:M1L8N40Z0Jc', 'Vguid:Tag:Reuters.Com']",2026-04-16 13:01:47.079375+00:00,"['googl', 'meta', 'snap']",Thursday
